product_id,avg_price,purchase_count
4244733e06e7ecb4970a6e2683c13e61,59.233333,9
e5f2d52b802189ee658865ca93d83a8f,239.900000,1
c777355d18b72b67abbeef9df44fd0fd,199.000000,3
7634da152a4610f1595efa32f14722fc,12.990000,2
ac6c3623068f30de03045865e4e10089,202.400000,12
ef92defde845ab8450f9d70c526ef70f,21.900000,5
8d4f2bb7e93e6710a28f34fa83ee7d28,18.566667,3
557d850972a7d6f792fd18ae1400d9b6,810.000000,1
310ae3c140ff94b03219ad0adc3c778f,145.950000,2
4535b0e1091c278dfd193e5a1d63b39f,53.990000,4
d63c1011f49d98b976c352955b1c4bea,59.262727,55
f177554ea93259a5b282f24e33f65ab6,45.000000,3
99a4788cb24856965c36a24e339b6058,88.167131,488
368c6c730842d78016ad823897a372db,54.270103,388
8cab8abac59158715e0d70a36c807415,99.900000,2
3f27ac8e699df3d300ec4a5d8c5cf0b2,639.000000,1
4fa33915031a8cde03dd0d3e8fb27f01,148.900000,20
b50c950aba0dcead2c48032a690ce817,99.000000,4
5ed9eaf534f6936b51d0b6c5e4d5c2e9,24.982857,21
553e0e7590d3116a072507a3635d2877,46.483333,39
57d79905de06d8897872c551bfd09358,26.748621,29
1c05e0964302b6cf68ca0d15f326c6ba,122.823333,6
5d7c23067ed3fc8c6e699b9373d5890b,52.913043,23
5a419dbf24a8c9718fe522b81c69f61a,45.652222,18
21b1c2f67a9aafb5af0eb06c13b9dbda,227.400000,4
c389f712c4b4510bc997cee93e8b1a28,285.666667,9
1c0c0093a48f13ba70d0c6b0a9157cb7,109.900000,1
89321f94e35fc6d7903d36f74e351d40,28.367311,119
38afdf723b95d455b418a0f57d623c6b,119.900000,4
672e757f331900b9deea127a2a7b79fd,405.000000,17
28b4eced95a52d9c437a4caf9d311b95,59.900000,22
e95ee6822b66ac6058e2e4aff656071a,21.509091,11
23365beed316535b4105bd800c46670e,15.966452,31
50fd2b788dc166edd20512370dac54df,21.825000,40
b10eba910a974df70b8a12d0665cdb9e,38.900000,10
4089861a1bd4685da70bddd6b4f974f1,49.750000,1
fe59a1e006df3ac42bf0ceb876d70969,762.008333,12
c6dd917a0be2a704582055949915ab32,98.903500,120
0b0172eb0fd18479d29c3bc122c058c2,25.267500,16
dbaee28f4ee64465838a229582d77520,54.825000,8
dbb67791e405873b259e4656bf971246,79.265568,88
84f456958365164420cfc80fbe4c7fab,92.837477,111
e67307ff0f15ade43fcb6e670be7a74c,18.870976,41
30c01cc81c9eb80469371743813789cc,38.330000,1
777d2e438a1b645f3aec9bd57e92672c,69.870213,94
884fa3cd42986ba480ea2f8ae4e25ff7,195.000000,4
bdcf6a834e8faa30dac3886c7a58e92e,37.621563,32
a5341e3f8155dbb3e62323d3ea289729,88.939024,41
e19ddcc85537b41f22116c8d5425ef46,29.990000,21
e6b6e13cf71449a457269f425b89dc74,94.661905,21
13fcfc313dfb2217e5ee3000a702f9ef,74.900000,2
4e3f399366b0047a572b6682f9bb166e,14.950000,4
18901878788fec7ddc55e64d1ace8187,149.900000,2
0c4d0a08f95c7b7dc5dc7402bfdafd4c,19.990000,2
35537536ed2b4c561b4018bf3abf54e0,382.307692,13
fe077ec80df6b4ee60bb4498d5ab1962,136.272727,33
430d215740da7fdda91cc938f8fd92f6,104.142857,7
892832da5b05b0f54578e1f14f193c22,165.666667,3
6490b9f63b0b595e1c1402b46b0f50ad,279.978571,14
