order_id,customer_id,order_value
00125cb692d04887809806618a2a145f,8afb90a97ee661103014329b1bcea1a2,135.41
00571ded73b3c061925584feab0db425,3c628393675b42c6b5ef89461f68ecef,389.82
006dd93155bc2abd844cc5eed3a0fe7f,1b9506de3da8fd318853195b13fb2dda,57.68
00946f674d880be1f188abc10ad7cf46,9583b047c90d4aa1c5c68b4065ba7f4e,232.72
00a0116ff15ff973ea16bee881208ae7,89a187407adfc8a32a4d6233a6a237d8,194.12
00bdcdda88e6b02977fc6ce3d412c600,45ba03e2c6bbb5dc48131ba32ec3ae5e,137.83
011b142c9e082a5c1d10e0a88cd9c8e8,0c7a95280b3f80eadd81c829e093dbec,297.20
0132451f29a10b66a5cf1bacc85f9afe,1c5b37d20011c637ad1a5b6d423c7483,215.56
01835ef41c5ac66dd9ec6084fa1d0533,6a4ea2081853cd8dd8d7c69cdf86925a,72.14
01855f880aae9a984c7c33b26fcf2e02,2e068340b3037f667ce3224bd59260af,95.52
0197cb265e2c84b9f89dfd784095d2f6,3971ac136496b4368c1431bb5bce0929,378.91
01a75ac3dd000b7628a684be97c29234,57ee2ef64f17a5f9a4bf30489b06326c,58.00
02610d88ac343ed64988d2706ce3ebfd,e7214f2cd8744c2d6d53e74e226ad9de,43.11
02aec12849744e266394182861265286,076dcea2eb6c8dbe9354f7c0d8670a00,210.64
02c371100bf54facae80322579c7fefb,ad6f2686bc9a43070103abf4021c6e35,59.24
0300095becf10f9b2993706759522741,05428560b11124d146bc86a2c4d5bf35,98.93
0341b60065c49221a27293793f11b117,cf4604a56d4e374de013f1ec35280d00,125.33
03f83b59e7c7355647462745b18119f1,c1865c11ead00a1bcd19971382032e8a,27.60
04040ee654b248cdc512a68ecc83e4cc,53379b14e4048e025dc5a2185f461bb7,275.19
0417dce62cd5791d3d0005ca971b2ba7,b0962d2b8c090ec26077939595a5b00a,47.03
0435b65bfd0a1cd1c48a82f5b405ea78,625784c6aad212dc7d249ea10e276617,154.14
0438fc3e115633e11a93c878a1591016,369ec69ef76c47e51980b88a5740dc1b,264.22
044d94a4ac73b24fe28ff5293ac35bd8,482d1baa7d2f9c4d4b54ae09215d39c8,65.53
045c9852284420b9c02d156436e1481c,16c0be52bf7bf9069c6fa0d850c660ac,55.13
04a59fe46fc5aa341da5378c195ed53c,2d8748fb35d51c2fd273ee67fff78b7a,75.18
05387d537bd2e5027aadbfb6a5123e4b,1fc77bb785f297743a18fac02b30de62,43.78
05ae7d6bd78e2a61f4c0076a9d690aa8,2e21846cd2112929ca821e9716281192,235.83
05d27719c66597da0628a53f6009ed67,243243e2638f6c85b2b5c38f5bf05b53,254.76
062d3e3b803bd3e569cf8c165602f8f4,84d818ae645c84264965bc603b1d173f,186.10
06661c686ea79767c8ab8b8ffa3e62fd,7f4b6c52e1e85f2e166d5f01ea86dec1,53.27
06875ab72c5b9bb2eb303a70031bfeb0,686ca7499141a82f95123c370af061b0,47.68
06a6627d9cc91a04e9d146bf65fee0a2,61449fa1b8b8998c9c3f3a7f0ae954ef,113.62
06ad94997dd34a7c2186b82d8e9be6a5,edc2830530b7d989c82121b21e1c229d,76.76
06ae7271902bbb087fc093137fee6e81,1a1b5f9e903aa3c203caf5cb63fca2b1,96.80
06bafdd8b6d0b5befb44337a7674a1ec,2b655432dbb2d5e62b02aee3eafada73,91.05
06d6b5a626ba890f56dae296e1384f75,565ab5b150fec651f51db8783d2e645a,165.80
06f3401b97e4d89032cbd5ac7670247c,31d79ded8b09c0a871f049c73f2d331f,171.62
0760a852e4e9d89eb77bf631eaaf1c84,d2a79636084590b7465af8ab374a8cf5,50.35
07a0bc58f3b841724c5b8c649da441d5,b70e717fe0599c3bf2f69725b26fdf8e,166.35
07fbc4f433fc8754c492bc6dfb0b1c52,6a562d22d4e2ce223ae7ad8bfd834ab0,116.13
08652363092b158440e2422e7c3ccaf4,03b3813a78be4cf5205e70977ad78d29,82.59
08763574782690116475ea62ffdecadb,a2f475be29f915fa902863f62308df8f,85.24
08bdbdeaf1626720051193300f93806e,7a3bd3b37285f0ab25983420cbd01f4e,473.12
08d55c0e173bdfa5770a50a253b1810f,ae5c099e4280d1e1623790fc42494309,131.02
08d70627d548cd883ac394cc5da92d87,05de5898b9da9365b1823e7fd23700c1,54.59
0917636d789ce3b3eac37895935af5c2,fcba45767e1f02cc6c09f78e21e4e643,85.14
096b267153128e0d7f9e593bba803956,df9432f68e31773dc4b20fb916f2f647,85.18
09bb35a3939c3181b4a5619cb3918976,b84438b09aa33a6e08673fe173f9796f,116.94
09d3f9f1be63c067456cc619076685a1,b6f05b99667a02c3722610a7bb6b4062,63.86
0a0ae1b561eab534493c5588efc5169c,090ad6d0d50a83c661a31538f2642cdf,325.93
0a0e7f9881dffec612b28e2682242574,2df6fa407bea6af2e165b3dc8355d382,169.49
0a4a2fccb27bd83a892fa503987a595b,6772a0a230a2667d16c3620f000e1348,63.34
0a7af36dc9b46e0920a68a9e2ee2198e,0fb85ae4e233e275790cba098c95c855,98.56
0ab63e307694f40a88a0ecd358c0939d,f239edc4401c9043a2c8f37fe164b273,163.13
0ac645ddb846d1373321decb39c9956f,46d8521966b3f64cce626dfc6b655d1a,134.66
0acdae809654a2de1235d18a12cf73f3,3180b241917d07e27bd46aac80ded579,66.07
0adf4c5c9a1399ceefdb7ba880df1ca7,eab22d3171e51fc2a3b380f5da7c7310,145.01
0ae7144116fa718b3bb90cd8d855713a,bb02acc51461fe7e45f7fdf63d18072c,133.02
0aea558128f1a96bd223babc4dc79bd3,daf457df7093e56187eda2050592817b,50.74
0b0f3c7a9bcb6ad1fccab28f9240da6f,7bb3b0d45b4e1a13cd914e4a135e6bd9,96.47
0b339dee90210409b715a9f2b6af29a7,fb7df68b487c7340f5a4e9c5d4ae3e73,1166.43
0b50bea7ba1e8ba7a21b01b7c9d1350b,8c976a55940af1dcecf9aac47249aca9,74.28
0b584b729bdfec204ec2aa5d21d6ca56,da2fbad9b2235c67c9bc7c7a274ee389,78.22
0bb0dd89956cc5f44ff556c2189e7160,db925a533d94cee42707026949892c7e,54.00
0bc4a984d79279c843421830f595273c,e93fa47188d998ecd355fdb87a5e62e3,85.52
0c228d925a49aa5e3b35febb948f4f72,ee4a4b5842e03fbaff366b9459e08b95,161.01
0c40dfe4127461031cfea37fb4c63856,812db10465ec8fed84262db66f615f87,169.51
0c6b011f8a4f87010c23995f5807d152,a78b75a2ad06180de06b82857ca442b3,66.02
0c91c4102d1858f4ced29970f55e54a0,ae8ed9c83d32613ae9f7e6c72443cdbb,56.86
0cb25b24a27e27dd18273360995e99f4,b03b8bf457533ef245fd5fa2681732d0,27.30
0cce1e1470bc8d35d6a2bebb6991bc1b,6561ef6306e6369b42177e51ddcc35ef,54.18
0d09617395364c88c4ad7c457b439314,016c5c3fb572754f302fdac24aa9cfa4,143.90
0d13e311818a800d01cd46fb35dd3c27,7d61bddcc4435ac5dd586d751ebca204,166.70
0d17a5f9272e9cf9e9883f404fc61edf,3702c8f6ec51b4c67a7c73594f30fafe,48.87
0d25f1b15acb59ceff22667265743132,52dee0d644b6d10016569eae238ebc67,374.15
0d5cbb8e4c1c7a7fc26899126197a6b9,6ca4c791dfb84fbc05cbe68d7d7a95be,155.29
0d7839b143597f84b086c444ef9ebbe4,6ad62864f75d24638cab4e7bcdd9972a,108.42
0dad6beca7ed0e352668498c29089900,2528510465c7572dedee4431a7d52e08,110.89
0daf1f0e67b534ad873ba61c5d6ad7d3,1681471e9172d7e12ba08e9ac9e8628b,153.20
0dbcaa88e213607d3795e96eda505c73,0018c09f333634ca9c80d9ff46e43e9c,56.87
0e31f844aae10fe7dc2369bc0340bf21,b8733d346bac6859519abd26e409fd6a,104.37
0e3e431534069e8ac235c637dfb199d8,be5b31d927c5966440f2826da46e6449,176.59
